ionizable_ratio,helper_ratio,sterol_ratio,peg_ratio,particle_size_nm,encapsulation_efficiency,ionizable_4A3-SC8,ionizable_A2-Iso5-2DC18,ionizable_ALC-0315,ionizable_AX4,ionizable_C12-200,ionizable_Custom lipid,ionizable_DLin-KC2-DMA,ionizable_DLin-MC3-DMA,ionizable_DLinDMA,ionizable_DODAP,ionizable_DOTAP,ionizable_DOTMA,ionizable_L202,ionizable_OF-02,ionizable_Other,ionizable_SM-102
35.0,16.0,46.5,2.5,182.5,59.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,206.3,51.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,221.1,75.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,212.3,54.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,173.2,85.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,136.4,84.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,138.3,75.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,116.2,85.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,110.5,77.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,149.1,71.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,151.5,87.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,164.2,48.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,186.2,66.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,169.9,54.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35.0,16.0,46.5,2.5,172.1,50.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
